,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
163514,2022-06-16 15:15:30,A2,連江縣南竿鄉介壽村269號前叉路口,其他,未依規定讓車,死亡0;受傷1,119.951222,26.156993,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-06-16,15:15:30,0,1,連江縣
165887,2022-06-19 06:56:58,A2,連江縣南竿鄉酒廠圓環路段,撞動物,動物竄出,死亡0;受傷1,119.952077,26.160915,1:  (); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-06-19,06:56:58,0,1,連江縣
168750,2022-06-22 07:37:19,A2,連江縣南竿鄉介壽村257號(台灣銀行)上彎道處,路上翻車、摔倒,其他引起事故之違規或不當行為,死亡0;受傷2,119.950074,26.156354,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-06-22,07:37:19,0,2,連江縣
173177,2022-06-26 17:25:00,A2,連江縣北竿鄉壁山路段,路上翻車、摔倒,尚未發現肇事因素,死亡0;受傷2,119.992504,26.225101,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-06-26,17:25:00,0,2,連江縣
175446,2022-06-29 07:31:37,A2,連江縣南竿鄉中央大道(滿斗砂石場前路段),路上翻車、摔倒,車輪脫落或輪胎爆裂,死亡0;受傷2,119.945593,26.154237,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-06-29,07:31:37,0,2,連江縣
179724,2022-07-03 15:03:04,A2,連江縣南竿鄉環山路路段,路上翻車、摔倒,其他引起事故之故障,死亡0;受傷1,119.948023,26.159012,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-03,15:03:04,0,1,連江縣
180591,2022-07-04 13:00:00,A2,連江縣北竿鄉芹壁村環島北路路段,其他,未注意車前狀態,死亡0;受傷1,119.978923,26.224823,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-04,13:00:00,0,1,連江縣
182058,2022-07-05 18:05:38,A2,連江縣北竿鄉后澳村1-7號前路段,路上翻車、摔倒,未注意車前狀態,死亡0;受傷2,120.010286,26.225073,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-05,18:05:38,0,2,連江縣
184009,2022-07-07 14:00:00,A2,連江縣南竿鄉秋桂路往氣象站方向,路上翻車、摔倒,其他引起事故之違規或不當行為,死亡0;受傷1,119.922458,26.169504,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-07-07,14:00:00,0,1,連江縣
184289,2022-07-07 18:06:00,A2,連江縣南竿鄉介壽村介壽路374號前11.4公尺附近,側撞,未依規定讓車,死亡0;受傷1,119.949087,26.154797,1: 小貨車(含客、貨兩用) (營業用); 2: 機車 (普通重型),普通重型,,,,,營業用,,,,,,,,,2022-07-07,18:06:00,0,1,連江縣
197345,2022-07-20 15:23:49,A2,連江縣北竿鄉塘岐村環島東路(懷道樓)附近路段,撞護欄(樁),未依規定減速,死亡0;受傷1,119.996872,26.229885,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-20,15:23:49,0,1,連江縣
199426,2022-07-22 11:30:00,A2,連江縣莒光鄉大坪村中興路加油站附近路段,路上翻車、摔倒,不明原因肇事,死亡0;受傷1,119.973354,25.959741,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-22,11:30:00,0,1,連江縣
200119,2022-07-22 23:25:07,A2,連江縣南竿鄉復興村酒廠圓環,路上翻車、摔倒,酒醉(後)駕駛失控,死亡0;受傷1,119.952049,26.160862,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-22,23:25:07,0,1,連江縣
200398,2022-07-23 10:24:41,A2,連江縣南竿鄉仁愛村補給連前路段,路上翻車、摔倒,其他引起事故之違規或不當行為,死亡0;受傷1,119.925894,26.142267,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-07-23,10:24:41,0,1,連江縣
215475,2022-08-07 18:05:02,A2,連江縣南竿鄉濱海大道(珠螺往馬港),路上翻車、摔倒,未注意車前狀態,死亡0;受傷2,119.922574,26.160169,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-07,18:05:02,0,2,連江縣
225310,2022-08-17 16:01:30,A2,連江縣南竿鄉清水村濱海大道、勝利堡聯外路段,路口交岔撞,爭(搶)道行駛,死亡0;受傷1,119.934575,26.158657,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-17,16:01:30,0,1,連江縣
225779,2022-08-18 07:06:55,A2,連江縣北竿鄉壁山雷達站路段,對撞,爭(搶)道行駛,死亡0;受傷2,119.991339,26.225912,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-08-18,07:06:55,0,2,連江縣
229184,2022-08-21 12:30:00,A2,連江縣北竿鄉塘岐村環島東路蝴蝶谷彎道路段,撞護欄(樁),其他引起事故之違規或不當行為,死亡0;受傷2,119.998447,26.228796,1: 小貨車(含客、貨兩用) (自用); 2:  (); 3: 人 (乘客),,,,乘客,,自用,,,,,,,,,2022-08-21,12:30:00,0,2,連江縣
235756,2022-08-27 15:45:23,A2,連江縣南竿鄉仁愛路口（入村口）,側撞,未依規定讓車,死亡0;受傷2,119.925959,26.142314,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-27,15:45:23,0,2,連江縣
236443,2022-08-28 12:32:19,A2,連江縣南竿鄉津沙村津沙路段,撞護欄(樁),煞車失靈,死亡0;受傷2,119.917515,26.145161,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-28,12:32:19,0,2,連江縣
237425,2022-08-29 13:58:00,A2,連江縣南竿鄉中央大道、福沃路路口(福澳嶺路口),路上翻車、摔倒,未依規定讓車,死亡0;受傷1,119.947433,26.159254,1: 機車 (普通重型); 2:  (); 3: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-08-29,13:58:00,0,1,連江縣
238279,2022-08-30 10:58:10,A2,連江縣南竿鄉津沙村津沙路段,路上翻車、摔倒,煞車失靈,死亡0;受傷1,119.921112,26.147579,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-08-30,10:58:10,0,1,連江縣
238992,2022-08-31 07:43:26,A2,連江縣南竿鄉清水村117-6號前路口,對向擦撞,左轉彎未依規定,死亡0;受傷2,119.937378,26.152352,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-08-31,07:43:26,0,2,連江縣
240119,2022-09-01 08:50:27,A2,連江縣南竿鄉清水村100號前路口,其他,其他引起事故之故障,死亡0;受傷1,119.937714,26.153165,1: 軍車 (小型車); 2: 機車 (普通重型),普通重型,,,,,,小型車,,,,,,,,2022-09-01,08:50:27,0,1,連江縣
241603,2022-09-02 15:08:00,A2,連江縣南竿鄉津沙村津沙路往李小石公園路段,撞護欄(樁),煞車失靈,死亡0;受傷2,119.916982,26.145562,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-09-02,15:08:00,0,2,連江縣
242888,2022-09-03 22:50:40,A2,連江縣南竿鄉介壽村89-1號前路段,同向擦撞,酒醉(後)駕駛失控,死亡0;受傷1,119.952513,26.157327,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-09-03,22:50:40,0,1,連江縣
244770,2022-09-06 06:56:00,A2,連江縣南竿鄉復興村復興路、深水碼頭路口,對向擦撞,左轉彎未依規定,死亡0;受傷1,119.945383,26.164115,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客); 5: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-09-06,06:56:00,0,1,連江縣
