,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
10559,2022-01-10 10:01:00,A2,澎湖縣馬公市東衛里縣203線道路口 / 澎湖縣馬公市東衛里縣202線道路口,側撞,右轉彎未依規定,死亡0;受傷1,119.598639,23.569009,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-10,10:01:00,0,1,澎湖縣
10869,2022-01-10 15:07:00,A2,澎湖縣馬公市西文里新明路口 / 澎湖縣馬公市西文里文德路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.581427,23.56456,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-01-10,15:07:00,0,2,澎湖縣
11174,2022-01-10 18:46:00,A2,澎湖縣馬公市縣201線 5公里800.0公尺處西側向外側,側撞,迴轉未依規定,死亡0;受傷1,119.575959,23.519299,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-10,18:46:00,0,1,澎湖縣
12951,2022-01-12 10:41:00,A2,澎湖縣馬公市縣201線 5公里300.0公尺處西側向外側,撞護欄(樁),未注意車前狀態,死亡0;受傷1,119.580764,23.520559,1: 小客車 (自用); 2:  (),,,自用,,,,,,,,,,,,2022-01-12,10:41:00,0,1,澎湖縣
12978,2022-01-12 11:07:00,A2,澎湖縣馬公市縣204線 300.0公尺處東側向外側,同向擦撞,未保持行車安全間隔,死亡0;受傷2,119.584042,23.567974,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-01-12,11:07:00,0,2,澎湖縣
14629,2022-01-13 18:01:00,A2,澎湖縣馬公市縣204線 300.0公尺處西側向外側,穿越道路中,違反號誌管制或指揮,死亡0;受傷2,119.584126,23.567982,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-01-13,18:01:00,0,2,澎湖縣
14882,2022-01-13 22:09:00,A2,澎湖縣馬公市縣201線 2公里400.0公尺處南側向外側,撞動物,未注意車前狀態,死亡0;受傷1,119.602157,23.532977,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-13,22:09:00,0,1,澎湖縣
15658,2022-01-14 14:03:00,A2,澎湖縣馬公市光榮里光復路口 / 澎湖縣馬公市光榮里陽明路口,同向擦撞,左轉彎未依規定,死亡0;受傷2,119.572321,23.573371,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-14,14:03:00,0,2,澎湖縣
15810,2022-01-14 16:20:00,A2,澎湖縣馬公市鎖港里縣201線道路口 / 澎湖縣馬公市鎖港里澎26號道路口,側撞,未依規定讓車,死亡0;受傷2,119.600516,23.530742,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-14,16:20:00,0,2,澎湖縣
16186,2022-01-14 19:37:00,A2,澎湖縣馬公市朝陽里林森路87巷28號前0.0公尺西側,其他,酒醉(後)駕駛失控,死亡0;受傷1,119.577309,23.575696,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-14,19:37:00,0,1,澎湖縣
16546,2022-01-15 09:04:00,A2,澎湖縣馬公市光復里水源路10號前0.0公尺南側,其他,開啟車門不當而肇事,死亡0;受傷1,119.571781,23.569529,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-15,09:04:00,0,1,澎湖縣
16672,2022-01-15 10:57:00,A2,澎湖縣馬公市陽明里中華路口 / 澎湖縣馬公市陽明里中華路口,側撞,違反號誌管制或指揮,死亡0;受傷1,119.571719,23.570426,1: 機車 (普通重型); 2: 小貨車(含客、貨兩用) (自用),普通重型,,,,,自用,,,,,,,,,2022-01-15,10:57:00,0,1,澎湖縣
16878,2022-01-15 13:54:00,A2,澎湖縣馬公市水源路停車場內,側撞,未依規定讓車,死亡0;受傷1,119.571812,23.569899,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-15,13:54:00,0,1,澎湖縣
17948,2022-01-16 14:30:00,A2,澎湖縣馬公市縣204線 1公里100.0公尺處口,路上翻車、摔倒,酒醉(後)駕駛失控,死亡0;受傷1,119.590209,23.563368,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-16,14:30:00,0,1,澎湖縣
18084,2022-01-16 16:32:00,A2,澎湖縣馬公市重慶里光明路口 / 澎湖縣馬公市重慶里民權路口,側撞,未依規定讓車,死亡0;受傷1,119.567685,23.566055,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-16,16:32:00,0,1,澎湖縣
18347,2022-01-16 21:28:00,A2,澎湖縣馬公市西文里新店路口 / 澎湖縣馬公市西文里文德路口,側撞,迴轉未依規定,死亡0;受傷1,119.580603,23.563512,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-16,21:28:00,0,1,澎湖縣
19181,2022-01-17 17:09:00,A2,澎湖縣馬公市西文里新生路口 / 澎湖縣馬公市西文里文學路口,側撞,逆向行駛,死亡0;受傷2,119.58273,23.565165,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-01-17,17:09:00,0,2,澎湖縣
19465,2022-01-17 19:26:00,A2,澎湖縣湖西鄉縣202線 5公里800.0公尺處東側向外側,穿越道路中,未注意車前狀態,死亡0;受傷1,119.64361,23.58223,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-01-17,19:26:00,0,1,澎湖縣
19843,2022-01-18 08:01:00,A2,澎湖縣馬公市中興里忠孝路口 / 澎湖縣馬公市中興里明遠路口,路口交岔撞,違反號誌管制或指揮,死亡0;受傷1,119.567181,23.570712,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型),普通重型,,,,,自用,,,,,,,,,2022-01-18,08:01:00,0,1,澎湖縣
20697,2022-01-18 20:17:00,A2,澎湖縣馬公市東文里新店路口 / 澎湖縣馬公市東文里文山路口,側撞,違反號誌管制或指揮,死亡0;受傷1,119.585489,23.563743,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-18,20:17:00,0,1,澎湖縣
21202,2022-01-19 11:37:00,A2,澎湖縣馬公市西文里中華路口 / 澎湖縣馬公市西文里六合路口,側撞,違反號誌管制或指揮,死亡0;受傷1,119.581921,23.570055,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-01-19,11:37:00,0,1,澎湖縣
23102,2022-01-20 19:39:00,A2,澎湖縣馬公市陽明里光復路口 / 澎湖縣馬公市陽明里陽明路口,追撞,未保持行車安全距離,死亡0;受傷1,119.572321,23.573371,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-20,19:39:00,0,1,澎湖縣
24442,2022-01-22 04:48:00,A2,澎湖縣湖西鄉縣202線 7公里750.0公尺處西側向內側,路上翻車、摔倒,酒醉(後)駕駛失控,死亡0;受傷1,119.662902,23.584511,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-22,04:48:00,0,1,澎湖縣
24446,2022-01-22 05:53:00,A2,澎湖縣馬公市縣201線 430.0公尺處北側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.61071,23.549462,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-22,05:53:00,0,1,澎湖縣
24845,2022-01-22 11:55:00,A2,澎湖縣馬公市陽明里水源路口 / 澎湖縣馬公市陽明里北辰街口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.571663,23.569798,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-22,11:55:00,0,1,澎湖縣
26075,2022-01-23 16:33:00,A2,澎湖縣馬公市新生路(體育場東側道路),路上翻車、摔倒,違規超車,死亡0;受傷1,119.577922,23.568089,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-01-23,16:33:00,0,1,澎湖縣
26196,2022-01-23 19:13:00,A2,澎湖縣湖西鄉縣204線 7公里700.0公尺處東側向內側,穿越道路中,未注意車前狀態,死亡0;受傷1,119.643741,23.563114,1: 小客車 (自用); 2: 人 (行人),,,自用,行人,,,,,,,,,,,2022-01-23,19:13:00,0,1,澎湖縣
26262,2022-01-23 21:15:00,A2,澎湖縣馬公市縣205線 6公里100.0公尺處,側撞,未依規定讓車,死亡0;受傷2,119.593975,23.556071,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-01-23,21:15:00,0,2,澎湖縣
26323,2022-01-24 00:30:00,A2,澎湖縣馬公市縣201線 5公里100.0公尺處東側向外側,衝出路外,未注意車前狀態,死亡0;受傷1,119.582627,23.52136,1: 小客車 (自用); 2:  (),,,自用,,,,,,,,,,,,2022-01-24,00:30:00,0,1,澎湖縣
26630,2022-01-24 10:17:00,A2,澎湖縣馬公市縣201線 2公里100.0公尺處南側向外側,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.602872,23.535236,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-01-24,10:17:00,0,1,澎湖縣
26788,2022-01-24 12:41:00,A2,澎湖縣馬公市重慶里光明路口 / 澎湖縣馬公市重慶里重慶街口,路口交岔撞,未依規定讓車,死亡0;受傷3,119.566901,23.566096,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-01-24,12:41:00,0,3,澎湖縣
