,發生時間,事故類別名稱,發生地點,事故類型及型態子類別名稱,肇因研判子類別名稱-主要,死亡受傷人數,經度,緯度,車種,機車,,小客車,人,慢車,小貨車,軍車,大貨車,曳引車,大客車,半聯結車,特種車,全聯結車,其他車,日期,時間,死亡,受傷,縣市
85391,2022-03-24 09:20:00,A2,澎湖縣馬公市陽明里中華路口 / 澎湖縣馬公市陽明里中華路口,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.571756,23.570417,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-03-24,09:20:00,0,1,澎湖縣
85489,2022-03-24 11:06:00,A2,澎湖縣馬公市東衛里330號南側200公尺處,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.600651,23.565801,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-24,11:06:00,0,1,澎湖縣
86528,2022-03-25 11:40:40,A2,澎湖縣馬公市縣202線 7公里150.0公尺處西側向外側,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.6571,23.584301,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-03-25,11:40:40,0,1,澎湖縣
86684,2022-03-25 13:52:00,A2,澎湖縣馬公市西文里新營路479號前0.0公尺東側,側撞,右轉彎未依規定,死亡0;受傷1,119.578003,23.565057,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-03-25,13:52:00,0,1,澎湖縣
87142,2022-03-25 19:37:00,A2,澎湖縣馬公市縣201線 50.0公尺處北側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.610627,23.551457,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-25,19:37:00,0,1,澎湖縣
88110,2022-03-26 21:05:00,A2,澎湖縣馬公市長安里中正路口 / 澎湖縣馬公市長安里民生路口,同向擦撞,未保持行車安全間隔,死亡0;受傷1,119.565561,23.567616,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-03-26,21:05:00,0,1,澎湖縣
88149,2022-03-26 22:24:00,A2,澎湖縣馬公市縣道203線與都市計劃20之3號道岔路口,追撞,未注意車前狀態,死亡0;受傷2,119.589755,23.569081,1: 機車 (普通重型); 2: 小客車 (自用); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-03-26,22:24:00,0,2,澎湖縣
88408,2022-03-27 11:21:49,A2,澎湖縣白沙鄉澎8-1號線 200.0公尺處,路上翻車、摔倒,車輪脫落或輪胎爆裂,死亡0;受傷2,119.580751,23.662255,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-03-27,11:21:49,0,2,澎湖縣
88760,2022-03-27 20:07:00,A2,澎湖縣馬公市光榮里三多路口 / 澎湖縣馬公市光榮里三多路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.569892,23.577105,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-03-27,20:07:00,0,2,澎湖縣
90838,2022-03-29 22:32:33,A2,澎湖縣白沙鄉講美村100-1號前道路,路上翻車、摔倒,酒醉(後)駕駛失控,死亡0;受傷1,119.598444,23.633595,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-29,22:32:33,0,1,澎湖縣
91383,2022-03-30 14:54:01,A2,澎湖縣白沙鄉赤崁聯外橋樑與赤崁馬頭岔路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.60274,23.666503,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-03-30,14:54:01,0,1,澎湖縣
91417,2022-03-30 15:39:00,A2,澎湖縣馬公市縣201線 7公里280.0公尺處東側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.566548,23.528644,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-30,15:39:00,0,1,澎湖縣
92028,2022-03-31 08:06:00,A2,澎湖縣馬公市縣203線 4公里830.0公尺處南側向外側,撞護欄(樁),未注意車前狀態,死亡0;受傷1,119.601506,23.574596,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-03-31,08:06:00,0,1,澎湖縣
92409,2022-03-31 15:23:34,A2,澎湖縣白沙鄉澎8號道2.5公里處(瓦硐段),其他,裝載貨物不穩妥,死亡0;受傷1,119.582219,23.657068,1: 曳引車 (自用); 2: 小貨車(含客、貨兩用) (自用),,,,,,自用,,,自用,,,,,,2022-03-31,15:23:34,0,1,澎湖縣
93011,2022-04-01 07:48:00,A2,澎湖縣馬公市朝陽里三多路口 / 澎湖縣馬公市西衛里六合路口,側撞,違反號誌管制或指揮,死亡0;受傷2,119.580902,23.574536,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-01,07:48:00,0,2,澎湖縣
93176,2022-04-01 09:40:00,A2,澎湖縣馬公市西衛里光復路口 / 澎湖縣馬公市西衛里六合路口,側撞,未依規定讓車,死亡0;受傷1,119.579485,23.579707,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-01,09:40:00,0,1,澎湖縣
93295,2022-04-01 11:44:00,A2,澎湖縣馬公市光復里新生路口 / 澎湖縣馬公市陽明里北辰街口,側撞,未依規定讓車,死亡0;受傷1,119.571925,23.569332,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-01,11:44:00,0,1,澎湖縣
93570,2022-04-01 16:05:00,A2,澎湖縣西嶼鄉縣道203線25.5公里處岔路口(竹灣段),其他,未注意車前狀態,死亡0;受傷2,119.520168,23.637008,1: 小客車 (租賃車); 2:  (); 3: 人 (乘客),,,租賃車,乘客,,,,,,,,,,,2022-04-01,16:05:00,0,2,澎湖縣
94179,2022-04-02 09:07:00,A2,澎湖縣馬公市縣204線 1公里600.0公尺處西側,側撞,違反特定標誌(線)禁制,死亡0;受傷2,119.594628,23.561166,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-04-02,09:07:00,0,2,澎湖縣
94434,2022-04-02 12:47:00,A2,澎湖縣西嶼鄉赤馬村55號前岔路口(赤馬段),路口交岔撞,未依規定讓車,死亡0;受傷2,119.506751,23.585164,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-02,12:47:00,0,2,澎湖縣
94823,2022-04-02 21:01:00,A2,澎湖縣馬公市朝陽里朝陽路93號前0.0公尺東側,同向通行中,未注意車前狀態,死亡0;受傷1,119.577044,23.573401,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-04-02,21:01:00,0,1,澎湖縣
95061,2022-04-03 09:55:01,A2,澎湖縣白沙鄉澎8號線 5公里,路口交岔撞,未依規定讓車,死亡0;受傷1,119.567618,23.663768,1: 小客車 (自用); 2: 慢車 (腳踏自行車),,,自用,,腳踏自行車,,,,,,,,,,2022-04-03,09:55:01,0,1,澎湖縣
95231,2022-04-03 13:57:37,A2,澎湖縣白沙鄉縣203線 19公里900.0公尺處,同向擦撞,未保持行車安全間隔,死亡0;受傷2,119.561962,23.660027,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-04-03,13:57:37,0,2,澎湖縣
95321,2022-04-03 15:49:00,A2,澎湖縣馬公市新營路553號北側岔路口,側撞,未依規定讓車,死亡0;受傷1,119.579921,23.563455,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-03,15:49:00,0,1,澎湖縣
95388,2022-04-03 16:57:00,A2,澎湖縣湖西鄉縣202線 6公里900.0公尺處西側向外側,其他,起步未注意其他車(人)安全,死亡0;受傷3,119.654659,23.583824,1: 機車 (普通輕型); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-03,16:57:00,0,3,澎湖縣
95895,2022-04-04 10:31:00,A2,澎湖縣馬公市西文里新明路口 / 澎湖縣馬公市西文里永祿街口,側撞,未依規定讓車,死亡0;受傷1,119.579675,23.56561,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-04-04,10:31:00,0,1,澎湖縣
96234,2022-04-04 15:30:00,A2,澎湖縣白沙鄉澎9號線 500.0公尺處北側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷2,119.603172,23.649403,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-04,15:30:00,0,2,澎湖縣
96307,2022-04-04 16:30:00,A2,澎湖縣白沙鄉縣203線 15公里600.0公尺處南側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷2,119.599996,23.663842,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-04,16:30:00,0,2,澎湖縣
96320,2022-04-04 16:41:00,A2,澎湖縣馬公市案山里76之1號旁岔路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.579212,23.558162,1: 機車 (普通重型); 2: 小貨車(含客、貨兩用) (自用),普通重型,,,,,自用,,,,,,,,,2022-04-04,16:41:00,0,1,澎湖縣
96363,2022-04-04 17:20:00,A2,澎湖縣湖西鄉縣202線 6公里950.0公尺處西側,側撞,右轉彎未依規定,死亡0;受傷4,119.654846,23.583814,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-04,17:20:00,0,4,澎湖縣
96660,2022-04-05 08:13:00,A2,澎湖縣馬公市石泉里縣205號道路口 / 澎湖縣馬公市石泉里澎23號道路口,側撞,未依規定讓車,死亡0;受傷1,119.592893,23.555999,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型),普通重型,,,,,自用,,,,,,,,,2022-04-05,08:13:00,0,1,澎湖縣
97535,2022-04-06 07:24:00,A2,澎湖縣湖西鄉澎17號道0.6公里處,衝出路外,未注意車前狀態,死亡0;受傷2,119.662022,23.57577,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-06,07:24:00,0,2,澎湖縣
98037,2022-04-06 14:34:33,A2,澎湖縣西嶼鄉縣203線 26公里400.0公尺處,路上翻車、摔倒,未注意車前狀態,死亡0;受傷2,119.514864,23.631213,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-06,14:34:33,0,2,澎湖縣
98085,2022-04-06 15:26:00,A2,澎湖縣湖西鄉西文里92之86號前道路,路上翻車、摔倒,其他引起事故之違規或不當行為,死亡0;受傷1,119.58408,23.567153,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-06,15:26:00,0,1,澎湖縣
98699,2022-04-07 08:14:00,A2,澎湖縣馬公市縣203線 4公里800.0公尺處北側向內側,衝進路中,穿越道路未注意左右來車,死亡0;受傷3,119.600741,23.573359,1: 人 (行人); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-07,08:14:00,0,3,澎湖縣
98809,2022-04-07 09:50:00,A2,澎湖縣馬公市陽明里中華路口 / 澎湖縣馬公市陽明里中華路口,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.571716,23.570404,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-07,09:50:00,0,1,澎湖縣
98847,2022-04-07 10:28:00,A2,澎湖縣馬公市鎖港里縣201線道口 / 澎湖縣馬公市鎖港里澎26號道口,側撞,左轉彎未依規定,死亡0;受傷1,119.600514,23.530773,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-04-07,10:28:00,0,1,澎湖縣
99008,2022-04-07 13:46:00,A2,澎湖縣白沙鄉澎8-1號道3.1公里處岔路口(通梁段),側撞,起步未注意其他車(人)安全,死亡0;受傷2,119.555281,23.657314,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客),普通重型,,,乘客,,自用,,,,,,,,,2022-04-07,13:46:00,0,2,澎湖縣
99381,2022-04-07 18:52:00,A2,澎湖縣馬公市縣府新村4號前岔路口,衝進路中,在道路上嬉戲或奔走不定,死亡0;受傷1,119.571266,23.57369,1: 人 (行人); 2: 機車 (普通重型),普通重型,,,行人,,,,,,,,,,,2022-04-07,18:52:00,0,1,澎湖縣
100012,2022-04-08 12:08:00,A2,澎湖縣西嶼鄉池西村虎目石滬南側0.4公里處道路,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.497324,23.596204,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-08,12:08:00,0,1,澎湖縣
100180,2022-04-08 15:03:00,A2,澎湖縣馬公市重慶里民福路67號前0.0公尺南側,側撞,右轉彎未依規定,死亡0;受傷1,119.568396,23.565724,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-08,15:03:00,0,1,澎湖縣
100298,2022-04-08 16:47:00,A2,澎湖縣馬公市風櫃里105號前道路,衝進路中,穿越道路未注意左右來車,死亡0;受傷1,119.548171,23.539713,1: 人 (行人); 2: 小貨車(含客、貨兩用) (自用),,,,行人,,自用,,,,,,,,,2022-04-08,16:47:00,0,1,澎湖縣
100658,2022-04-08 21:51:00,A2,澎湖縣馬公市光榮里光復路265號前0.0公尺南側,其他,起步未注意其他車(人)安全,死亡0;受傷2,119.57402,23.574919,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 機車 (普通輕型),普通輕型,,,,,,,,,,,,,,2022-04-08,21:51:00,0,2,澎湖縣
101693,2022-04-09 20:43:00,A2,澎湖縣西嶼鄉縣203線 22公里500.0公尺處,追撞,未保持行車安全距離,死亡0;受傷3,119.54455,23.646176,1: 小客車 (自用); 2: 小貨車(含客、貨兩用) (自用); 3: 人 (乘客),,,自用,乘客,,自用,,,,,,,,,2022-04-09,20:43:00,0,3,澎湖縣
102390,2022-04-10 17:16:00,A2,澎湖縣馬公市光復里海埔路55號前0.0公尺東側,其他,右轉彎未依規定,死亡0;受傷1,119.570606,23.567444,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-10,17:16:00,0,1,澎湖縣
102756,2022-04-11 08:08:00,A2,澎湖縣馬公市朝陽里文昌街22號前0.0公尺,對向擦撞,未靠右行駛,死亡0;受傷2,119.579152,23.573942,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-11,08:08:00,0,2,澎湖縣
102941,2022-04-11 11:04:00,A2,澎湖縣馬公市陽明里新明路口 / 澎湖縣馬公市陽明里同和路口,側撞,起步未注意其他車(人)安全,死亡0;受傷1,119.574978,23.569355,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-04-11,11:04:00,0,1,澎湖縣
103395,2022-04-11 18:04:00,A2,澎湖縣馬公市陽明里水源路口 / 澎湖縣馬公市陽明里北辰街口,穿越道路中,未注意車前狀態,死亡0;受傷2,119.571663,23.569798,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-04-11,18:04:00,0,2,澎湖縣
103421,2022-04-11 18:27:00,A2,澎湖縣馬公市陽明里中華路口 / 澎湖縣馬公市陽明里中華路口,穿越道路中,未注意車前狀態,死亡0;受傷2,119.575523,23.571968,1: 機車 (普通重型); 2: 人 (行人); 3:  (),普通重型,,,行人,,,,,,,,,,,2022-04-11,18:27:00,0,2,澎湖縣
103532,2022-04-11 20:29:00,A2,澎湖縣馬公市朝陽里三多路12巷29號前0.0公尺口,穿越道路中,未注意車前狀態,死亡0;受傷2,119.579403,23.574297,1: 機車 (普通重型); 2: 人 (行人),普通重型,,,行人,,,,,,,,,,,2022-04-11,20:29:00,0,2,澎湖縣
105056,2022-04-13 09:56:00,A2,澎湖縣馬公市東文里新店路口 / 澎湖縣馬公市東文里新生路北側,側撞,未依規定讓車,死亡0;受傷1,119.586717,23.564469,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-04-13,09:56:00,0,1,澎湖縣
105280,2022-04-13 13:41:00,A2,澎湖縣馬公市東文里文德路口 / 澎湖縣馬公市東文里大賢街口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.581578,23.561118,1: 小客車 (計程車); 2: 機車 (普通重型),普通重型,,計程車,,,,,,,,,,,,2022-04-13,13:41:00,0,1,澎湖縣
105443,2022-04-13 16:47:00,A2,澎湖縣馬公市縣203線 2公里900.0公尺處東側向外側,同向擦撞,變換車道或方向不當,死亡0;受傷1,119.586649,23.56918,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-13,16:47:00,0,1,澎湖縣
105444,2022-04-13 16:48:00,A2,澎湖縣馬公市縣201線 3公里550.0公尺處西側向內側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.594232,23.526185,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-13,16:48:00,0,1,澎湖縣
105535,2022-04-13 17:50:00,A2,澎湖縣馬公市西衛里光復路口 / 澎湖縣馬公市西衛里六合路口,側撞,違反特定標誌(線)禁制,死亡0;受傷2,119.579597,23.579555,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-13,17:50:00,0,2,澎湖縣
105763,2022-04-13 21:46:00,A2,澎湖縣馬公市東文里新營路553號前0.0公尺東側,其他,未注意車前狀態,死亡0;受傷1,119.579985,23.562906,1: 機車 (普通重型); 2: 小貨車(含客、貨兩用) (自用),普通重型,,,,,自用,,,,,,,,,2022-04-13,21:46:00,0,1,澎湖縣
105857,2022-04-14 06:46:00,A2,澎湖縣馬公市縣201線 2公里600.0公尺處南側向外側,其他,未注意車前狀態,死亡0;受傷1,119.601109,23.531456,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-14,06:46:00,0,1,澎湖縣
106102,2022-04-14 09:12:00,A2,澎湖縣馬公市縣201線 1公里150.0公尺處北側向外側,其他,起步未注意其他車(人)安全,死亡0;受傷1,119.606499,23.543278,1: 軍車 (小型車); 2: 機車 (普通重型),普通重型,,,,,,小型車,,,,,,,,2022-04-14,09:12:00,0,1,澎湖縣
106122,2022-04-14 09:32:00,A2,澎湖縣馬公市朝陽里三多路184巷3號前0.0公尺北側,側撞,未依規定讓車,死亡0;受傷1,119.576269,23.575614,1: 小貨車(含客、貨兩用) (自用); 2: 機車 (普通重型),普通重型,,,,,自用,,,,,,,,,2022-04-14,09:32:00,0,1,澎湖縣
106516,2022-04-14 16:49:00,A2,澎湖縣馬公市朝陽里林森路口 / 澎湖縣馬公市朝陽里林森路口,側撞,未依規定讓車,死亡0;受傷1,119.578061,23.575437,1: 機車 (普通重型); 2: 小貨車(含客、貨兩用) (自用),普通重型,,,,,自用,,,,,,,,,2022-04-14,16:49:00,0,1,澎湖縣
107194,2022-04-15 10:21:00,A2,澎湖縣白沙鄉澎8號線 1公里西側向機、慢車道,撞工程施工,未注意車前狀態,死亡0;受傷2,119.593531,23.645947,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-15,10:21:00,0,2,澎湖縣
107300,2022-04-15 12:01:00,A2,澎湖縣湖西鄉鼎灣村澎11號道路口 / 澎湖縣湖西鄉鼎灣村澎12號道路口,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.622625,23.589248,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-15,12:01:00,0,1,澎湖縣
108081,2022-04-16 08:13:00,A2,澎湖縣馬公市中央里仁愛路口 / 澎湖縣馬公市中央里惠民一路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.564651,23.565727,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-16,08:13:00,0,2,澎湖縣
108114,2022-04-16 08:46:00,A2,澎湖縣馬公市縣204線 4公里450.0公尺處東側向外側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.618754,23.548571,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-16,08:46:00,0,1,澎湖縣
108624,2022-04-16 17:08:00,A2,澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里林森路口,路口交岔撞,未依規定讓車,死亡0;受傷2,119.577828,23.573861,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-16,17:08:00,0,2,澎湖縣
109672,2022-04-18 07:35:00,A2,澎湖縣馬公市朝陽里六合路1號前0.0公尺附近,側撞,未依規定讓車,死亡0;受傷1,119.581809,23.570345,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-18,07:35:00,0,1,澎湖縣
109886,2022-04-18 10:03:00,A2,澎湖縣白沙鄉澎8-1號線 900.0公尺處東側,同向擦撞,變換車道或方向不當,死亡0;受傷1,119.574508,23.662673,1: 小客車 (自用); 2: 機車 (普通重型),普通重型,,自用,,,,,,,,,,,,2022-04-18,10:03:00,0,1,澎湖縣
109995,2022-04-18 12:13:00,A2,澎湖縣馬公市澎22號線 1公里800.0公尺處,衝出路外,未注意車前狀態,死亡0;受傷2,119.611392,23.562559,1: 機車 (普通重型); 2:  (); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-18,12:13:00,0,2,澎湖縣
110450,2022-04-18 19:36:00,A2,澎湖縣馬公市西衛里光復路口 / 澎湖縣馬公市西衛里四維路口,撞動物,動物竄出,死亡0;受傷2,119.576019,23.576799,1:  (); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,,乘客,,,,,,,,,,,2022-04-18,19:36:00,0,2,澎湖縣
110476,2022-04-18 20:18:00,A2,澎湖縣馬公市石泉里縣204線道路口 / 澎湖縣馬公市石泉里澎23號道路口,側撞,左轉彎未依規定,死亡0;受傷2,119.594942,23.560802,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-18,20:18:00,0,2,澎湖縣
110780,2022-04-19 08:28:00,A2,澎湖縣馬公市縣204線 2公里900.0公尺處西側向外側,佇立路邊(外),未注意車前狀態,死亡0;受傷1,119.605163,23.556293,1: 小貨車(含客、貨兩用) (自用); 2: 人 (行人),,,,行人,,自用,,,,,,,,,2022-04-19,08:28:00,0,1,澎湖縣
111139,2022-04-19 15:30:02,A2,澎湖縣西嶼鄉澎2號道3.4公里處岔路口(竹灣段),路口交岔撞,未依規定讓車,死亡0;受傷3,119.524616,23.635315,1: 大客車 (公營公車); 2: 小客車 (自用); 3:  (); 4: 人 (乘客); 5: 人 (乘客),,,自用,乘客,,,,,,公營公車,,,,,2022-04-19,15:30:02,0,3,澎湖縣
111241,2022-04-19 17:08:00,A2,澎湖縣馬公市重慶里民權路63號前0.0公尺,對向擦撞,未保持行車安全間隔,死亡0;受傷1,119.567568,23.56561,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客); 4: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-04-19,17:08:00,0,1,澎湖縣
111275,2022-04-19 17:28:00,A2,澎湖縣馬公市西文里新店路口 / 澎湖縣馬公市西文里新生路口,追撞,未保持行車安全距離,死亡0;受傷1,119.585489,23.563743,1: 小客車 (自用); 2: 小客車 (自用),,,自用,,,,,,,,,,,,2022-04-19,17:28:00,0,1,澎湖縣
111535,2022-04-19 22:25:00,A2,澎湖縣馬公市陽明里新生路130號,其他,酒醉(後)駕駛失控,死亡0;受傷1,119.573498,23.569745,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 機車 (普通重型); 4: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-19,22:25:00,0,1,澎湖縣
112075,2022-04-20 13:54:00,A2,澎湖縣湖西鄉縣202線 3公里750.0公尺處西側向外側,追撞,未保持行車安全距離,死亡0;受傷1,119.630687,23.580377,1: 機車 (普通重型); 2: 大貨車 (自用),普通重型,,,,,,,自用,,,,,,,2022-04-20,13:54:00,0,1,澎湖縣
112120,2022-04-20 14:34:19,A2,澎湖縣白沙鄉縣道203線與澎8-1號道岔路口(通梁段),側撞,未依規定讓車,死亡0;受傷3,119.554703,23.658043,1: 小客車 (自用); 2: 小客車 (自用); 3: 人 (乘客),,,自用,乘客,,,,,,,,,,,2022-04-20,14:34:19,0,3,澎湖縣
112198,2022-04-20 15:52:00,A2,澎湖縣馬公市石泉里32之51號前岔路口,路口交岔撞,未依規定讓車,死亡0;受傷1,119.593741,23.554835,1: 小客車 (自用); 2: 小貨車(含客、貨兩用) (自用),,,自用,,,自用,,,,,,,,,2022-04-20,15:52:00,0,1,澎湖縣
112406,2022-04-20 18:52:00,A2,澎湖縣馬公市新店路、新生路岔路口南側道路,穿越道路中,未依標誌、標線、號誌或手勢指揮穿越道路,死亡0;受傷2,119.58647,23.564326,1: 人 (行人); 2: 小客車 (自用),,,自用,行人,,,,,,,,,,,2022-04-20,18:52:00,0,2,澎湖縣
112915,2022-04-21 10:43:05,A2,澎湖縣白沙鄉縣203線 19公里800.0公尺處,同向擦撞,右轉彎未依規定,死亡0;受傷1,119.562947,23.659692,1: 小貨車(含客、貨兩用) (營業用); 2: 機車 (普通重型),普通重型,,,,,營業用,,,,,,,,,2022-04-21,10:43:05,0,1,澎湖縣
113059,2022-04-21 13:26:00,A2,澎湖縣馬公市重光里100號前道路,其他,未注意車前狀態,死亡0;受傷1,119.57131,23.580211,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-04-21,13:26:00,0,1,澎湖縣
113183,2022-04-21 15:52:00,A2,澎湖縣馬公市朝陽里中華路口 / 澎湖縣馬公市朝陽里中華路口,側撞,違反號誌管制或指揮,死亡0;受傷2,119.578205,23.57192,1: 機車 (普通重型); 2: 機車 (普通重型); 3: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-21,15:52:00,0,2,澎湖縣
114096,2022-04-22 13:37:00,A2,澎湖縣馬公市朝陽里六合路300號前0.0公尺南側,路上翻車、摔倒,未注意車前狀態,死亡0;受傷1,119.581268,23.573397,1: 機車 (普通重型); 2:  (),普通重型,,,,,,,,,,,,,,2022-04-22,13:37:00,0,1,澎湖縣
114412,2022-04-22 18:06:00,A2,澎湖縣馬公市光明里明遠路口 / 澎湖縣馬公市光明里信義路口,側撞,違反號誌管制或指揮,死亡0;受傷2,119.568087,23.570649,1: 小客車 (自用); 2: 機車 (普通重型); 3: 人 (乘客),普通重型,,自用,乘客,,,,,,,,,,,2022-04-22,18:06:00,0,2,澎湖縣
114629,2022-04-22 22:38:00,A2,澎湖縣馬公市陽明里海埔路口 / 澎湖縣馬公市陽明里新店路口,側撞,左轉彎未依規定,死亡0;受傷2,119.57358,23.569195,1: 機車 (普通重型); 2: 機車 (普通重型),普通重型,,,,,,,,,,,,,,2022-04-22,22:38:00,0,2,澎湖縣
115334,2022-04-23 18:12:00,A2,澎湖縣馬公市東文里民富街口 / 澎湖縣馬公市東文里文學路口,其他,未注意車前狀態,死亡0;受傷1,119.582096,23.562128,1: 機車 (普通重型); 2: 小客車 (自用),普通重型,,自用,,,,,,,,,,,,2022-04-23,18:12:00,0,1,澎湖縣
